Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Challenges and opportunities in translating ethical AI principles into practice for children,Nature Machine Intelligence,,,,10.1038/s42256-024-00805-x,Ge WangJun ZhaoMax Van KleekNigel Shadbolt,2024,https://link.springer.com/article/10.1038/s42256-024-00805-x,Article
LLM-Enhanced Dynamic Spectrum Management for Integrated Non-Terrestrial and Terrestrial Networks: A Multi-Objective Optimization Approach,Mobile Networks and Applications,,,,10.1007/s11036-026-02490-z,Hafiz Muhammad Ali ZeeshanAizaz AhmadSyed Ali HassanMuhammad Sohaib Jamal SolaijaSajjad Hussain Chauhdary,2025,https://link.springer.com/article/10.1007/s11036-026-02490-z,Article
Clinician-informed XAI evaluation checklist with metrics (CLIX-M) for AI-powered clinical decision support systems,npj Digital Medicine,,,,10.1038/s41746-025-01764-2,Aida BrankovicDavid CookJessica RahmanAlana DelaforceJane LiFarah MagrabiFederico CabitzaEnrico CoieraDanaKai Bradford,2025,https://link.springer.com/article/10.1038/s41746-025-01764-2,Article
Towards ethical evolution: responsible autonomy of artificial intelligence across generations,AI and Ethics,,,,10.1007/s43681-025-00759-9,Vagan TerziyanTimo TiihonenAmit K. ShuklaSvitlana GryshkoMariia GoloviankoOleksandr TerziyanOleksandra Vitko,2025,https://link.springer.com/article/10.1007/s43681-025-00759-9,Article
Toward safe AI,AI & SOCIETY,,,,10.1007/s00146-022-01591-z,Andres Morales-ForeroSamuel BassettoEric Coatanea,2022,https://link.springer.com/article/10.1007/s00146-022-01591-z,Article
Users’ needs in interactive bias auditing tools introducing a requirement checklist and evaluating existing tools,AI and Ethics,,,,10.1007/s43681-023-00342-0,Daphne LendersToon Calders,2023,https://link.springer.com/article/10.1007/s43681-023-00342-0,Article
Manipulating Aggregate Societal values to Bias AI Social Choice Ethics,AI and Ethics,,,,10.1007/s43681-024-00495-6,Seth D Baum,2024,https://link.springer.com/article/10.1007/s43681-024-00495-6,Article
Temporally consistent tri ledger settlement enables robust and noncontestable coordination in interprovincial power systems,Scientific Reports,,,,10.1038/s41598-025-28933-3,Xue MaShuoshuo LvWenbao HuCunqiang HuangZhongfu Tan,2025,https://link.springer.com/article/10.1038/s41598-025-28933-3,Article
Enacting and re-politicising co-design: a critical perspective on eHealth interventions,Social Theory & Health,,,,10.1057/s41285-025-00239-4,Riccardo Pronzato,2025,https://link.springer.com/article/10.1057/s41285-025-00239-4,Article
A Three-level Framework for LLM-enhanced Explainable AI: From Technical Explanations to Natural Language,Information Systems Frontiers,,,,10.1007/s10796-025-10668-1,Marilyn BelloRafael BelloMaría-Matilde GarcíaAnn NowéIván Sevillano-GarcíaFrancisco Herrera,2025,https://link.springer.com/article/10.1007/s10796-025-10668-1,Article
Quality issues in machine learning software systems,Empirical Software Engineering,,,,10.1007/s10664-024-10536-7,Pierre-Olivier CôtéAmin NikanjamRached BouchouchaIlan BastaMouna AbidiFoutse Khomh,2024,https://link.springer.com/article/10.1007/s10664-024-10536-7,Article
Large Language Models for Information Retrieval: Challenges and Chances,Datenbank-Spektrum,,,,10.1007/s13222-025-00503-x,Timo BreuerSameh FrihatNorbert FuhrDirk LewandowskiPhilipp SchaerRalf Schenkel,2025,https://link.springer.com/article/10.1007/s13222-025-00503-x,Article
"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare",Saudi Pharmaceutical Journal,,,,10.1007/s44446-025-00055-x,Sitah Alharthi,2025,https://link.springer.com/article/10.1007/s44446-025-00055-x,Article
AI ethics and ordoliberalism 2.0: towards a ‘Digital Bill of Rights’,AI and Ethics,,,,10.1007/s43681-023-00367-5,Manuel Wörsdörfer,2023,https://link.springer.com/article/10.1007/s43681-023-00367-5,Article
The influence of organizational culture on organizational resilience and employee performance through the mediation of high-performance work systems,Discover Psychology,,,,10.1007/s44202-025-00496-4,Shivani SrivastavaM. K. Rao,2025,https://link.springer.com/article/10.1007/s44202-025-00496-4,Article
Optimizing beyond optimization: Heideggerian limits and artificial intelligence,AI and Ethics,,,,10.1007/s43681-024-00607-2,Dwayne Woods,2024,https://link.springer.com/article/10.1007/s43681-024-00607-2,Article
From ethical AI frameworks to tools: a review of approaches,AI and Ethics,,,,10.1007/s43681-023-00258-9,Erich Prem,2023,https://link.springer.com/article/10.1007/s43681-023-00258-9,Article
IEEE 802.11af-enabled scalable cognitive radio sensor networks with adaptive priority management for early forest fire forewarning,Scientific Reports,,,,10.1038/s41598-025-21050-1,V. AbilashaA. Karthikeyan,2025,https://link.springer.com/article/10.1038/s41598-025-21050-1,Article
Effects of Moral Violation on Algorithmic Transparency: An Empirical Investigation,Journal of Business Ethics,,,,10.1007/s10551-023-05472-3,Muhammad Umair ShahUmair RehmanBidhan ParmarInara Ismail,2023,https://link.springer.com/article/10.1007/s10551-023-05472-3,Article
Exploring the role of trust in AI-driven decision-making: a systematic literature review,Management Review Quarterly,,,,10.1007/s11301-025-00526-4,Nathalie Montealegre-López,2025,https://link.springer.com/article/10.1007/s11301-025-00526-4,Article
A novel holistic metric for sustainability assessment of photovoltaic/battery systems,Scientific Reports,,,,10.1038/s41598-025-14809-z,Rasha ElazabMohamed Daowd,2025,https://link.springer.com/article/10.1038/s41598-025-14809-z,Article
Democratizing AI from a Sociotechnical Perspective,Minds and Machines,,,,10.1007/s11023-023-09651-z,Merel NoormanTsjalling Swierstra,2023,https://link.springer.com/article/10.1007/s11023-023-09651-z,Article
Recent trends in recommender systems: a survey,International Journal of Multimedia Information Retrieval,,,,10.1007/s13735-024-00349-1,Chintoo KumarC. Ravindranath ChowdaryAshok Kumar Meena,2024,https://link.springer.com/article/10.1007/s13735-024-00349-1,Article
Creative Evaluators: When Machines Evaluate Us,New Generation Computing,,,,10.1007/s00354-025-00302-8,Kuakou BossouMargareta Ackerman,2025,https://link.springer.com/article/10.1007/s00354-025-00302-8,Article
Fair prediction sets through multi-objective hyperparameter optimization,Machine Learning,,,,10.1007/s10994-024-06721-w,Alberto García-GalindoMarcos López-De-CastroRubén Armañanzas,2025,https://link.springer.com/article/10.1007/s10994-024-06721-w,Article
"Educating Software and AI Stakeholders About Algorithmic Fairness, Accountability, Transparency and Ethics",International Journal of Artificial Intelligence in Education,,,,10.1007/s40593-021-00248-0,Veronika BoginaAlan HartmanTsvi KuflikAvital Shulner-Tal,2021,https://link.springer.com/article/10.1007/s40593-021-00248-0,Article
Effects of knowledge and importance on responsibility in human-AI decision making,Scientific Reports,,,,10.1038/s41598-025-32513-w,Takahiro TsumuraSeiji Yamada,2025,https://link.springer.com/article/10.1038/s41598-025-32513-w,Article
"ChatGPT Needs SPADE (Sustainability, PrivAcy, Digital divide, and Ethics) Evaluation: A Review",Cognitive Computation,,,,10.1007/s12559-024-10285-1,Sunder Ali KhowajaParus KhuwajaKapal DevWeizheng WangLewis Nkenyereye,2024,https://link.springer.com/article/10.1007/s12559-024-10285-1,Article
Towards practical artificial intelligence in Earth sciences,Computational Geosciences,,,,10.1007/s10596-024-10317-7,Ziheng SunTalya ten BrinkWendy CarandeGerbrand KorenNicoleta CristeaCorin JorgensonBhargavi JangaGokul Prathin AsamaniSanjana AchanMike MahoneyQian HuangArmin MehrabianThilanka MunasingheZhong LiuAaron MargolisPeter WebleyBing GongYuhan RaoAnnie BurgessAndrew HuangLaura SandovalBrianna R. PagánSebnem Duzgun,2024,https://link.springer.com/article/10.1007/s10596-024-10317-7,Article
Technical challenges and perception: does AI have a PR issue?,AI and Ethics,,,,10.1007/s43681-023-00316-2,Marie Oldfield,2023,https://link.springer.com/article/10.1007/s43681-023-00316-2,Article
From fair solutions to compromise solutions in multi-objective deep reinforcement learning,Neural Computing and Applications,,,,10.1007/s00521-024-10602-7,Junqi QianUmer SiddiqueGuanbao YuPaul Weng,2025,https://link.springer.com/article/10.1007/s00521-024-10602-7,Article
A synthesis method for zero-sum mean-payoff asynchronous probabilistic games,Scientific Reports,,,,10.1038/s41598-025-85589-9,Wei ZhaoWanwei LiuZhiming LiuTiexin Wang,2025,https://link.springer.com/article/10.1038/s41598-025-85589-9,Article
Persistent inconsistencies in patient cost variability within the French DRG classification system over the 2012–2019 period,Health Economics Review,,,,10.1186/s13561-025-00663-2,Carine Milcent,2025,https://link.springer.com/article/10.1186/s13561-025-00663-2,Article
A review of predictive policing from the perspective of fairness,Artificial Intelligence and Law,,,,10.1007/s10506-021-09286-4,Kiana AlikhademiEmma DrobinaDiandra PrioleauBrianna RichardsonDuncan PurvesJuan E. Gilbert,2021,https://link.springer.com/article/10.1007/s10506-021-09286-4,Article
"The Indian approach to Artificial Intelligence: an analysis of policy discussions, constitutional values, and regulation",AI & SOCIETY,,,,10.1007/s00146-023-01685-2,P. R. BijuO. Gayathri,2023,https://link.springer.com/article/10.1007/s00146-023-01685-2,Article
Machine learning for credit risk management through cross-economy evidence in default prediction,SN Business & Economics,,,,10.1007/s43546-025-00995-5,Sunaina KanojiaAnubhav Arora,2025,https://link.springer.com/article/10.1007/s43546-025-00995-5,Article
Improving energy efficiency and scalable computing in Federated Learning,Cluster Computing,,,,10.1007/s10586-025-05802-2,Alvina ShahidJamil AhmadImran ShafiMuhammad Muneeb ArshadTahir KhurshaidHafiz Muhammad Raza ur RehmanImran Ashraf,2025,https://link.springer.com/article/10.1007/s10586-025-05802-2,Article
Exploring user awareness and perceived usefulness of generative AI in higher education: The moderating role of trust,Education and Information Technologies,,,,10.1007/s10639-025-13612-7,Mai-Lun Chiu,2025,https://link.springer.com/article/10.1007/s10639-025-13612-7,Article
Generating domain models from natural language text using NLP: a benchmark dataset and experimental comparison of tools,Software and Systems Modeling,,,,10.1007/s10270-024-01176-y,Fatma BozyigitTolgahan BardakciAlireza KhalilipourMoharram ChallengerGuus RamackersÖnder BaburMichel R. V. Chaudron,2024,https://link.springer.com/article/10.1007/s10270-024-01176-y,Article
"In humans, we trust",Discover Artificial Intelligence,,,,10.1007/s44163-023-00092-2,Kyriakos KyriakouJahna Otterbacher,2023,https://link.springer.com/article/10.1007/s44163-023-00092-2,Article
Formalising trade-offs beyond algorithmic fairness: lessons from ethical philosophy and welfare economics,AI and Ethics,,,,10.1007/s43681-021-00067-y,Michelle Seng Ah LeeLuciano FloridiJatinder Singh,2021,https://link.springer.com/article/10.1007/s43681-021-00067-y,Article
Privacy preservation in blockchain-based healthcare data sharing: A systematic review,Peer-to-Peer Networking and Applications,,,,10.1007/s12083-025-02148-9,Kun LiAnkur LohachabMichel DumontierVisara Urovi,2025,https://link.springer.com/article/10.1007/s12083-025-02148-9,Article
Analyzing Failures In Wind–Solar Hybrid Energy Systems Using a Fuzzy-Based BWM-MARCOS Approach: Challenges and Solutions,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10054-8,Veysi BaşhanMelih YucesanHakan DemirelMuhammet Gul,2025,https://link.springer.com/article/10.1007/s13369-025-10054-8,Article
Spectral efficiency enhancement in multiuser NOMA over Nakagami-<i>m</i> fading channels through power allocation and pairing strategies under hardware and SIC imperfections,Scientific Reports,,,,10.1038/s41598-025-22024-z,R DipinkrishnanVinoth Babu Kumaravelu,2025,https://link.springer.com/article/10.1038/s41598-025-22024-z,Article
Sensitivity-centered preventive maintenance strategies for enhanced urban surveillance: a stochastic petri net analysis,Computing,,,,10.1007/s00607-025-01561-5,Carlos BritoGabriel AraújoIure FéPaulo RegoGustavo CallouIvson BorgesPaulo MacielTuan Anh NguyenFrancisco Airton Silva,2025,https://link.springer.com/article/10.1007/s00607-025-01561-5,Article
Machine learning approaches for optimizing high-performance computing scheduling: a comprehensive survey and analysis,Cluster Computing,,,,10.1007/s10586-025-05521-8,Kyrian AdimoraSai Rithvik GundlaHongyang Sun,2025,https://link.springer.com/article/10.1007/s10586-025-05521-8,Article
Exploring the adoption and long-term effects of ChatGPT in a sustainable supply chain,Flexible Services and Manufacturing Journal,,,,10.1007/s10696-024-09575-5,Pardis RoozkhoshAlireza PooyaAzam ModaresVahideh Bafandegan Emroozi,2024,https://link.springer.com/article/10.1007/s10696-024-09575-5,Article
"Advances in Machine Learning and Deep Learning for Hormonal Disorder Diagnosis: an Exhaustive Review on PCOS, Thyroid, and Optimization Techniques",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10380-y,Sanjay DhankaAnkur KumarAbhinav SharmaHaswanth VundavilliSurita MainiElakkiya Rajasekar,2025,https://link.springer.com/article/10.1007/s11831-025-10380-y,Article
Contestable AI by Design: Towards a Framework,Minds and Machines,,,,10.1007/s11023-022-09611-z,Kars AlfrinkIanus KellerGerd KortuemNeelke Doorn,2022,https://link.springer.com/article/10.1007/s11023-022-09611-z,Article
Unlocking the power of algorithmic recommendations: the effect of recommendation characteristics on users’ willingness to value co-creation,Current Psychology,,,,10.1007/s12144-024-07175-y,Jinsong ChenYuexin ZhangZhaoxia Liu,2025,https://link.springer.com/article/10.1007/s12144-024-07175-y,Article
A comprehensive survey on integration of machine learning with secure blockchain-based applications,Cluster Computing,,,,10.1007/s10586-025-05330-z,Chahna MekaKeerthi Reddy PalakolluMaria AzeesArun Sekar RajasekaranAshok Kumar DasMarko Hölbl,2025,https://link.springer.com/article/10.1007/s10586-025-05330-z,Article
A primer on the use of machine learning to distil knowledge from data in biological psychiatry,Molecular Psychiatry,,,,10.1038/s41380-023-02334-2,Thomas P. QuinnJonathan L. HessVictoria S. MarsheMichelle M. BarnettAnne-Christin HauschildMalgorzata MaciukiewiczSamar S. M. ElsheikhXiaoyu MenEmanuel SchwarzYannis J. TrakadisMichael S. BreenEric J. BarnettYanli Zhang-JamesMehmet Eren AhsenHan CaoJunfang ChenJiahui HouAsif SalekinPing-I LinKristin K. NicodemusAndreas Meyer-LindenbergIsabelle BichindaritzStephen V. FaraoneMurray J. CairnsGaurav PandeyDaniel J. MüllerStephen J. Glatt,2024,https://link.springer.com/article/10.1038/s41380-023-02334-2,Article
Being Pragmatic About Reliance and Trust in Artificial Intelligence,Minds and Machines,,,,10.1007/s11023-025-09754-9,Andrea Ferrario,2025,https://link.springer.com/article/10.1007/s11023-025-09754-9,Article
Explainable biometrics: a systematic literature review,Journal of Ambient Intelligence and Humanized Computing,,,,10.1007/s12652-024-04856-1,Cesare TucciAttilio Della GrecaGenoveffa TortoraRita Francese,2024,https://link.springer.com/article/10.1007/s12652-024-04856-1,Article
Operationalising ethics in artificial intelligence for healthcare: a framework for AI developers,AI and Ethics,,,,10.1007/s43681-022-00195-z,Pravik SolankiJohn GrundyWaqar Hussain,2022,https://link.springer.com/article/10.1007/s43681-022-00195-z,Article
Fundamental principles to design an ethical payment system,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04603-7,Gyöngyi BugárMárta Somogyvári,2025,https://link.springer.com/article/10.1057/s41599-025-04603-7,Article
A model-checking based approach to verify data and energy integrated networks (DEINs): toward the formal verification of 6G networks,Journal of Reliable Intelligent Environments,,,,10.1007/s40860-025-00260-4,Ilyes RezguiAfef GafsiImen Ben HafaiedhYassine Gana,2025,https://link.springer.com/article/10.1007/s40860-025-00260-4,Article
Understanding prediction discrepancies in classification,Machine Learning,,,,10.1007/s10994-024-06557-4,Xavier RenardThibault LaugelMarcin Detyniecki,2024,https://link.springer.com/article/10.1007/s10994-024-06557-4,Article
History and future of business ecosystem: a bibliometric analysis and visualization,"Environment, Development and Sustainability",,,,10.1007/s10668-024-05318-6,Xia ZhangYue YangYun Chen,2024,https://link.springer.com/article/10.1007/s10668-024-05318-6,Article
Design Knowledge for Sensitive Social Media Recommender Systems,Information Systems Frontiers,,,,10.1007/s10796-025-10628-9,Lukas BonenbergerJulia Zeller-Lanzl,2025,https://link.springer.com/article/10.1007/s10796-025-10628-9,Article
Detection and evaluation of bias-inducing features in machine learning,Empirical Software Engineering,,,,10.1007/s10664-023-10409-5,Moses OpenjaGabriel LabergeFoutse Khomh,2023,https://link.springer.com/article/10.1007/s10664-023-10409-5,Article
Formal contracts mitigate social dilemmas in multi-agent reinforcement learning,Autonomous Agents and Multi-Agent Systems,,,,10.1007/s10458-024-09682-5,Andreas HauptPhillip ChristoffersenMehul DamaniDylan Hadfield-Menell,2024,https://link.springer.com/article/10.1007/s10458-024-09682-5,Article
Ethics Inside the Black Box: Integrating Science and Technology Studies into Engineering and Public Policy Curricula,Science and Engineering Ethics,,,,10.1007/s11948-023-00440-6,Christopher LawrenceSheila JasanoffSam Weiss EvansKeith RaffelL. Mahadevan,2023,https://link.springer.com/article/10.1007/s11948-023-00440-6,Article
MetaML: a multi-label meta-learning approach for pipeline recommendation,Machine Learning,,,,10.1007/s10994-025-06909-8,Cynthia Moreira MaiaLucas B. V. de AmorimGeorge D. C. CavalcantiRafael M. O. Cruz,2025,https://link.springer.com/article/10.1007/s10994-025-06909-8,Article
AI employment decision-making: integrating the equal opportunity merit principle and explainable AI,AI & SOCIETY,,,,10.1007/s00146-022-01532-w,Gary K Y Chan,2022,https://link.springer.com/article/10.1007/s00146-022-01532-w,Article
Enhancing Cloud Gaming Experience through Optimized Virtual Machine Placement: A Comprehensive Review,Journal of Network and Systems Management,,,,10.1007/s10922-024-09864-2,Sawsan Ali HamidYassine BoujelbenFaouzi Zarai,2024,https://link.springer.com/article/10.1007/s10922-024-09864-2,Article
Machine learning in design for additive manufacturing: A state-of-the-art discussion for a support tool in product design lifecycle,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-15273-9,Michele TrovatoLuca BelluomoMichele BiciMariorosario PristFrancesca CampanaPaolo Cicconi,2025,https://link.springer.com/article/10.1007/s00170-025-15273-9,Article
Improved task scheduling and load balancing in fog computing infrastructure using hybrid evolutionary method,Cluster Computing,,,,10.1007/s10586-024-05019-9,Li ZhaoZhenhua LinHongfei ShaoWei ZhengShihong ZhangYongjie WangQinghua Li,2025,https://link.springer.com/article/10.1007/s10586-024-05019-9,Article
Value Sensitive Design for autonomous weapon systems – a primer,Ethics and Information Technology,,,,10.1007/s10676-023-09687-w,Christine Boshuijzen-van Burken,2023,https://link.springer.com/article/10.1007/s10676-023-09687-w,Article
Technological trends in rainwater harvesting for micro-hydropower: a scientometric review,International Journal of Energy and Water Resources,,,,10.1007/s42108-025-00435-y,S. N. F. AbdullahM. K. A. KamarudinN. A. WahabN. YaakubA. S. Mohd SaudiM. N. A. RahmanS. SunardiF. Muhammad-SukkiI. N. Ismail,2025,https://link.springer.com/article/10.1007/s42108-025-00435-y,Article
A framework for materials informatics education through workshops,MRS Bulletin,,,,10.1557/s43577-023-00531-6,Arun Mannodi-KanakkithodiAustin McDannaldShijing SunSaaketh DesaiKeith A. BrownA. Gilad Kusne,2023,https://link.springer.com/article/10.1557/s43577-023-00531-6,Article
Enabling Secure and Efficient Sharing of Accelerators in Expeditionary Systems,Journal of Hardware and Systems Security,,,,10.1007/s41635-024-00148-4,Arsalan Ali MalikEmre KarabulutAmro AwadAydin Aysu,2024,https://link.springer.com/article/10.1007/s41635-024-00148-4,Article
Reinforced logical reasoning over KGs for interpretable recommendation system,Machine Learning,,,,10.1007/s10994-024-06646-4,Shirui WangBohan XieLing DingJianting ChenYang Xiang,2025,https://link.springer.com/article/10.1007/s10994-024-06646-4,Article
Tensions in transparent urban AI: designing a smart electric vehicle charge point,AI & SOCIETY,,,,10.1007/s00146-022-01436-9,Kars AlfrinkIanus KellerNeelke DoornGerd Kortuem,2022,https://link.springer.com/article/10.1007/s00146-022-01436-9,Article
“Intelligent Justice”: human-centered considerations in China’s legal AI transformation,AI and Ethics,,,,10.1007/s43681-022-00202-3,Nyu WangMichael Yuan Tian,2022,https://link.springer.com/article/10.1007/s43681-022-00202-3,Article
Application of light image inspection based on intelligent material manufacturing in VR system for street landscape design,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-024-14819-7,Xiaozhou TangChao Yuan,2024,https://link.springer.com/article/10.1007/s00170-024-14819-7,Article
AoD Based Joint User-Antenna Scheduling Schemes with Limited Feedback for Multi-User Massive MIMO FDD Systems,Wireless Personal Communications,,,,10.1007/s11277-024-11636-9,Dukhishyam SabatPrabina PattanayakAkhilesh KumarGanesh PrasadFazal Ahmed Talukdar,2024,https://link.springer.com/article/10.1007/s11277-024-11636-9,Article
Mcti: mixed-criticality task-based isolation,Real-Time Systems,,,,10.1007/s11241-024-09425-5,Denis HoornaertGolsana GhaemiAndrea BastoniRenato MancusoMarco CaccamoGiulio Corradi,2024,https://link.springer.com/article/10.1007/s11241-024-09425-5,Article
Machine learning inference serving models in serverless computing: a survey,Computing,,,,10.1007/s00607-024-01377-9,Akram AslaniMostafa Ghobaei-Arani,2025,https://link.springer.com/article/10.1007/s00607-024-01377-9,Article
A deep autoencoder-enhanced multi-objective evolutionary algorithm for recommender systems,The Journal of Supercomputing,,,,10.1007/s11227-025-07589-w,Fatima Ezzahra ZaiziSara QassimiSaid Rakrak,2025,https://link.springer.com/article/10.1007/s11227-025-07589-w,Article
FedMed-XAI: a collaborative and trustworthy framework for skin cancer detection using federated learning and explainable AI,The Journal of Supercomputing,,,,10.1007/s11227-025-07941-0,Mansi GuptaMohit KumarRenu Dhir,2025,https://link.springer.com/article/10.1007/s11227-025-07941-0,Article
