Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Artificial intelligence in medicine: a position paper by the Italian Society of Internal Medicine,Internal and Emergency Medicine,,,,10.1007/s11739-025-04146-4,Clara BalsanoFederico CabitzaSebastiano CiccoMarco GoriDonato MalerbaMarco MontagnaRoberto TarquiniAngelo Vacca,2025,https://link.springer.com/article/10.1007/s11739-025-04146-4,Article
Navigating Healthcare AI Governance: the Comprehensive Algorithmic Oversight and Stewardship Framework for Risk and Equity,Health Care Analysis,,,,10.1007/s10728-025-00537-y,Rahul KumarKyle SpornEthan WaisbergJoshua OngPhani PaladuguAmar S VadheraDylan AmiriAlex NgoRam JagadeesanAlireza TavakkoliTimothy LoftusAndrew G Lee,2025,https://link.springer.com/article/10.1007/s10728-025-00537-y,Article
Perspective on ethical AI in computational epidemiology and one health with COHRCIE framework and computational prophylaxis,Discover Public Health,,,,10.1186/s12982-025-00867-1,Ayomikun A. AwoseyiErnest E. OnuiriAyodeji O. OlarinmoyeAdewale U. OguntolaOluwawemimo O. Adebowale,2025,https://link.springer.com/article/10.1186/s12982-025-00867-1,Article
Transparency of medical artificial intelligence systems,Nature Reviews Bioengineering,,,,10.1038/s44222-025-00363-w,Chanwoo KimSoham U. GadgilSu-In Lee,2025,https://link.springer.com/article/10.1038/s44222-025-00363-w,Article
Mapping artificial intelligence bias: a network-based framework for analysis and mitigation,AI and Ethics,,,,10.1007/s43681-024-00609-0,Rawan AlMakinahMahsa GoodarziBetul TokM. Abdullah Canbaz,2024,https://link.springer.com/article/10.1007/s43681-024-00609-0,Article
A “True Lifecycle Approach” towards governing healthcare AI with the GCC as a global governance model,npj Digital Medicine,,,,10.1038/s41746-025-01614-1,Barry SolaimanYosra Magdi MekkiJunaid QadirMohammed GhalyMohamed AbdelkareemAbdulla Al-Ansari,2025,https://link.springer.com/article/10.1038/s41746-025-01614-1,Article
"Navigating LLM ethics: advancements, challenges, and future directions",AI and Ethics,,,,10.1007/s43681-025-00814-5,Junfeng JiaoSaleh AfrooghYiming XuConnor Phillips,2025,https://link.springer.com/article/10.1007/s43681-025-00814-5,Article
Trust and AI in healthcare: a systematic review,Monash Bioethics Review,,,,10.1007/s40592-025-00272-z,Aníbal M. AstobizaMarcos AlonsoRamón Ortega Lozano,2025,https://link.springer.com/article/10.1007/s40592-025-00272-z,Article
More or less discrimination? Practical feasibility of fairness auditing of technologies for personnel selection,AI & SOCIETY,,,,10.1007/s00146-023-01726-w,Helena MihaljevićIvana MüllerKatja DillAysel Yollu-TokMaximilian von Grafenstein,2023,https://link.springer.com/article/10.1007/s00146-023-01726-w,Article
Systematic literature review on bias mitigation in generative AI,AI and Ethics,,,,10.1007/s43681-025-00721-9,Juveria AfreenMahsa MohagheghMaryam Doborjeh,2025,https://link.springer.com/article/10.1007/s43681-025-00721-9,Article
"A Comprehensive Review of Bias in AI, ML, and DL Models: Methods, Impacts, and Future Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10483-6,Ankur KumarSanjay DhankaAbhinav SharmaAnchal SharmaMonika NainPrashant KumarAtma Ram GuptaJyoti BansalNitin Kumar SaxenaRuby Pant,2025,https://link.springer.com/article/10.1007/s11831-025-10483-6,Article
Eu regulatory ecosystem for ethical AI,AI and Ethics,,,,10.1007/s43681-025-00749-x,Vaios BolgourasApostolis ZarrasChristian LekaIoannis StylianouAristeidis FaraoChristos Xenakis,2025,https://link.springer.com/article/10.1007/s43681-025-00749-x,Article
Rethinking responsible AI from ethical pillars to sociotechnical practice,AI and Ethics,,,,10.1007/s43681-025-00809-2,Ayodeji Olusegun IbitoyeMakuochi Samuel NkwoRita Orji,2025,https://link.springer.com/article/10.1007/s43681-025-00809-2,Article
"AI-enhanced digital therapeutics for cognitive impairment: integrating mobile applications, virtual reality, and wearable devices",Discover Artificial Intelligence,,,,10.1007/s44163-025-00325-6,Dian Jiao,2025,https://link.springer.com/article/10.1007/s44163-025-00325-6,Article
"AI in human resources: efficiency, ethics, and emerging challenges",AI and Ethics,,,,10.1007/s43681-025-00862-x,Soumi MajumderSyedahmed SalmanNilanjan Dey,2025,https://link.springer.com/article/10.1007/s43681-025-00862-x,Article
Strategic Guidelines to Integrate Artificial Intelligence in Obstetrics and Gynecology: Best Practices and Ethical Considerations,Reproductive Sciences,,,,10.1007/s43032-025-01903-w,Pallav SenguptaSulagna DuttaSovan BagchiPrashanth HegdeSuraj SebastianDavid CM TaylorRalf Henkel,2025,https://link.springer.com/article/10.1007/s43032-025-01903-w,Article
Deconstructing gender bias in AGI: mitigating discriminatory architectures in general intelligence,AI and Ethics,,,,10.1007/s43681-025-00818-1,Cristina Caja MoyaElio Quiroga Rodríguez,2025,https://link.springer.com/article/10.1007/s43681-025-00818-1,Article
Optimizing beyond optimization: Heideggerian limits and artificial intelligence,AI and Ethics,,,,10.1007/s43681-024-00607-2,Dwayne Woods,2024,https://link.springer.com/article/10.1007/s43681-024-00607-2,Article
Factors influencing human trust in intelligent built environment systems,AI and Ethics,,,,10.1007/s43681-025-00813-6,Amir BehzadanArmita Dabiri,2025,https://link.springer.com/article/10.1007/s43681-025-00813-6,Article
The ethics of AI at the intersection of transgender identity and neurodivergence,Discover Artificial Intelligence,,,,10.1007/s44163-025-00257-1,Max Parks,2025,https://link.springer.com/article/10.1007/s44163-025-00257-1,Article
Revolutionizing diabetic retinopathy and macular edema management: a systematic review on the transformative potential of artificial intelligence,The Visual Computer,,,,10.1007/s00371-025-04024-2,Saba Ghazanfar AliXiaolong YangSaleha MasoodZainab GhazanfarYounhyun JungTingli ChenXiangning Wang,2025,https://link.springer.com/article/10.1007/s00371-025-04024-2,Article
"AI-powered in silico twins: redefining precision medicine through simulation, personalization, and predictive healthcare",Saudi Pharmaceutical Journal,,,,10.1007/s44446-025-00055-x,Sitah Alharthi,2025,https://link.springer.com/article/10.1007/s44446-025-00055-x,Article
A validated framework for responsible AI in healthcare autonomous systems,Scientific Reports,,,,10.1038/s41598-025-25266-z,Turki Alelyani,2025,https://link.springer.com/article/10.1038/s41598-025-25266-z,Article
"The data dance: choreographing seamless partnerships between humans, data, and GenAI",International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00684-w,Iván DurangoJosé A. GalludVictor M. R. Penichet,2024,https://link.springer.com/article/10.1007/s41060-024-00684-w,Article
"Trust and transparency in AI: industry voices on data, ethics, and compliance",AI & SOCIETY,,,,10.1007/s00146-025-02654-7,Louise McCormackMalika BendechacheDave LewisDiletta Huyskes,2025,https://link.springer.com/article/10.1007/s00146-025-02654-7,Article
Gender Mainstreaming Strategy and the Artificial Intelligence Act: Public Policies for Convergence,Digital Society,,,,10.1007/s44206-025-00173-y,Maria SideriStefanos Gritzalis,2025,https://link.springer.com/article/10.1007/s44206-025-00173-y,Article
"An integrated approach to gender equality, diversity, and inclusion in the development of artificial intelligence tools in agriculture and food system in Africa",AI & SOCIETY,,,,10.1007/s00146-025-02722-y,Nicholas OzorJoel NwakaireDaisy SalifuRex SagoeCynthia NwobodoMarie-Katherine WallerShannon Sutton,2025,https://link.springer.com/article/10.1007/s00146-025-02722-y,Article
<i>Nullius in Explanans</i>: an ethical risk assessment for explainable AI,Ethics and Information Technology,,,,10.1007/s10676-024-09800-7,Luca NanniniDiletta HuyskesEnrico PanaiGiada PistilliAlessio Tartaro,2024,https://link.springer.com/article/10.1007/s10676-024-09800-7,Article
Simplifying software compliance: AI technologies in drafting technical documentation for the AI Act,Empirical Software Engineering,,,,10.1007/s10664-025-10645-x,Francesco SovranoEmmie HineStefano AnzolutAlberto Bacchelli,2025,https://link.springer.com/article/10.1007/s10664-025-10645-x,Article
ONRAMP-AI-VRAR: an operational protocol for ethics and governance of AI-enabled immersive psychotherapy,BMC Psychiatry,,,,10.1186/s12888-025-07557-x,Aneesh RahangdaleJordan SchildkrautChristopher Wadsworth,2025,https://link.springer.com/article/10.1186/s12888-025-07557-x,Article
Interdisciplinary framework for the development of artificial intelligence solutions in one health,Progress in Artificial Intelligence,,,,10.1007/s13748-025-00369-w,K. Aditya Shastry,2025,https://link.springer.com/article/10.1007/s13748-025-00369-w,Article
AI-C2C (conscious to conscience): a governance framework for ethical AI integration,AI and Ethics,,,,10.1007/s43681-025-00736-2,Thamburaj AnthuvanKajal Maheshwari,2025,https://link.springer.com/article/10.1007/s43681-025-00736-2,Article
Logging requirement for continuous auditing of responsible machine learning-based applications,Empirical Software Engineering,,,,10.1007/s10664-025-10656-8,Patrick Loic FoalemLeuson Da SilvaFoutse KhomhHeng LiEttore Merlo,2025,https://link.springer.com/article/10.1007/s10664-025-10656-8,Article
"Artificial intelligence in governance: recent trends, risks, challenges, innovative frameworks and future directions",AI & SOCIETY,,,,10.1007/s00146-025-02312-y,Arjun GhoshAnkit SainiHimanshu Barad,2025,https://link.springer.com/article/10.1007/s00146-025-02312-y,Article
Exploring artificial intelligence-based distribution planning and scheduling systems’ effectiveness in ensuring equitable vaccine distribution in low-and middle-income countries—witness seminar approach,Discover Artificial Intelligence,,,,10.1007/s44163-025-00298-6,Akuma IfeanyichukwuVina VaswaniPerihan Elif Ekmekci,2025,https://link.springer.com/article/10.1007/s44163-025-00298-6,Article
Ethical challenges and strategic responses to AI integration in psychological assessment,AI and Ethics,,,,10.1007/s43681-025-00788-4,Vitalii ShymkoAnzhela Babadzhanova,2025,https://link.springer.com/article/10.1007/s43681-025-00788-4,Article
AI auditing through performance appraisals: A practice-informed approach,AI & SOCIETY,,,,10.1007/s00146-025-02674-3,Bart Anthony KamphorstIris Marijke MuisJulia StraatmanMirko Tobias Schäfer,2025,https://link.springer.com/article/10.1007/s00146-025-02674-3,Article
Ethical principles for artificial intelligence in education: a meta-review approach,AI and Ethics,,,,10.1007/s43681-025-00878-3,Mihiri WickramasingheLasith GunawardenaAmitha Padukkage,2025,https://link.springer.com/article/10.1007/s43681-025-00878-3,Article
Ethical challenges and governance of artificial intelligence in hepatocellular carcinoma management,Medical Oncology,,,,10.1007/s12032-025-03157-7,Da-long WanSheng-zhang Lin,2025,https://link.springer.com/article/10.1007/s12032-025-03157-7,Article
Navigating the informativeness-compression trade-off in XAI,AI and Ethics,,,,10.1007/s43681-025-00733-5,Ninell OldenburgAnders Søgaard,2025,https://link.springer.com/article/10.1007/s43681-025-00733-5,Article
"A Comprehensive Review of Bias in Deep Learning Models: Methods, Impacts, and Future Directions",Archives of Computational Methods in Engineering,,,,10.1007/s11831-024-10134-2,Milind ShahNitesh Sureja,2024,https://link.springer.com/article/10.1007/s11831-024-10134-2,Article
Unlocking the potential: multimodal AI in biotechnology and digital medicine—economic impact and ethical challenges,npj Digital Medicine,,,,10.1038/s41746-025-01992-6,Arya BhushanPreeti Misra,2025,https://link.springer.com/article/10.1038/s41746-025-01992-6,Article
“Turning right”? An experimental study on the political value shift in large language models,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04465-z,Yifei LiuYuang PanwangChao Gu,2025,https://link.springer.com/article/10.1057/s41599-025-04465-z,Article
Ethical approaches in designing autonomous and intelligent systems: a comprehensive survey towards responsible development,AI & SOCIETY,,,,10.1007/s00146-024-02040-9,Anetta Jedličková,2024,https://link.springer.com/article/10.1007/s00146-024-02040-9,Article
Scaling enterprise AI in healthcare: the role of governance in risk mitigation frameworks,npj Digital Medicine,,,,10.1038/s41746-025-01700-4,Andreea BodnariJohn Travis,2025,https://link.springer.com/article/10.1038/s41746-025-01700-4,Article
Transforming Brazilian healthcare with AI: progress and future perspectives,Discover Health Systems,,,,10.1007/s44250-025-00227-5,Victor C. F. BellandaAline S. MedeirosDaniel A. Ferraz,2025,https://link.springer.com/article/10.1007/s44250-025-00227-5,Article
The ethical implications of using children’s photographs in artificial intelligence: challenges and recommendations,AI and Ethics,,,,10.1007/s43681-024-00615-2,Wael Badawy,2025,https://link.springer.com/article/10.1007/s43681-024-00615-2,Article
The ethics of AI-assisted digital phenotyping in adolescent mental health: a framework for informed consent and trust,AI and Ethics,,,,10.1007/s43681-025-00815-4,Gottfried Schweiger,2025,https://link.springer.com/article/10.1007/s43681-025-00815-4,Article
Ethical challenges and opportunities in ChatGPT integration for education: insights from emerging economy,AI and Ethics,,,,10.1007/s43681-025-00667-y,Romny LyBora Ly,2025,https://link.springer.com/article/10.1007/s43681-025-00667-y,Article
"Addressing intersectional bias in AI recruitment using HITHIRE model: a fair, ethical, green AI and transparent hiring solution for Saudi Arabia’s diverse workforce in line with vision 2030",AI and Ethics,,,,10.1007/s43681-025-00844-z,Elham AlbaroudiTaha MansouriMohammad HatamlehAli Alameer,2025,https://link.springer.com/article/10.1007/s43681-025-00844-z,Article
Robo-advisory services in the insurance sector under the EU regulatory framework,The Geneva Papers on Risk and Insurance - Issues and Practice,,,,10.1057/s41288-025-00358-z,Piotr TereszkiewiczSzymon Skalski,2025,https://link.springer.com/article/10.1057/s41288-025-00358-z,Article
A systematic literature review of artificial intelligence (AI) transparency laws in the European Union (EU) and United Kingdom (UK): a socio-legal approach to AI transparency governance,AI and Ethics,,,,10.1007/s43681-025-00674-z,Joshua KrookPeter WinterJohn DownerJan Blockx,2025,https://link.springer.com/article/10.1007/s43681-025-00674-z,Article
Ethics and governance of generative AI in education: a systematic review on responsible adoption,Discover Education,,,,10.1007/s44217-025-01051-y,Mohanad Ismael Ibrahim AlfirasAbdul Qader EmranAmr M. Mohamed,2025,https://link.springer.com/article/10.1007/s44217-025-01051-y,Article
Voices of Defiance: Historical and Technological Resilience in Black Identity,Journal of African American Studies,,,,10.1007/s12111-025-09682-z,Jeremiah JohnsonRonald J. Stephens,2024,https://link.springer.com/article/10.1007/s12111-025-09682-z,Article
Artificial intelligence-enhanced echocardiography in cardiovascular disease management,Nature Reviews Cardiology,,,,10.1038/s41569-025-01197-0,Peder L. MyhreBjørnar GrenneFederico M. AschVictoria DelgadoRohan KheraStéphane LafitteRoberto M. LangPatricia A. PellikkaPartho P. SenguptaSreekanth VemulapalliCarolyn S. P. Lam,2025,https://link.springer.com/article/10.1038/s41569-025-01197-0,Article
Artificial intelligence (AI) in health systems: introducing a ‘Do Good’ approach,AI and Ethics,,,,10.1007/s43681-025-00757-x,Elsa PapadopoulouThemis ExarchosSasa JenkoKatarina KrepelkovaJoana Namorado,2025,https://link.springer.com/article/10.1007/s43681-025-00757-x,Article
AI ethics in banking services: a systematic and bibliometric review of regulatory and consumer perspectives,Discover Artificial Intelligence,,,,10.1007/s44163-025-00432-4,McArthur FundiraCharles Mbohwa,2025,https://link.springer.com/article/10.1007/s44163-025-00432-4,Article
Bridging the divide: technical research and application on legal judgment prediction,Artificial Intelligence and Law,,,,10.1007/s10506-025-09473-7,Chuyue ZhangYuchen Meng,2025,https://link.springer.com/article/10.1007/s10506-025-09473-7,Article
A Beginner’s Guide to Artificial Intelligence for Ophthalmologists,Ophthalmology and Therapy,,,,10.1007/s40123-024-00958-3,Daohuan KangHongkang WuLu YuanYu ShiKai JinAndrzej Grzybowski,2024,https://link.springer.com/article/10.1007/s40123-024-00958-3,Article
Ethical practices of artificial intelligence: a management framework for responsible AI deployment in businesses,AI and Ethics,,,,10.1007/s43681-025-00670-3,Ajay TripathiVinod Kumar,2025,https://link.springer.com/article/10.1007/s43681-025-00670-3,Article
Planetary health in the age of artificial intelligence: a structural–ethical inquiry into sustainable AI in healthcare,AI & SOCIETY,,,,10.1007/s00146-025-02603-4,Orhan Onder,2025,https://link.springer.com/article/10.1007/s00146-025-02603-4,Article
"Risk, regulation, and governance: evaluating artificial intelligence across diverse application scenarios",Security Journal,,,,10.1057/s41284-025-00495-z,Tamas SzadeczkyZsolt Bederna,2025,https://link.springer.com/article/10.1057/s41284-025-00495-z,Article
"Transforming healthcare through just, equitable and quality driven artificial intelligence solutions in South Asia",npj Digital Medicine,,,,10.1038/s41746-025-01534-0,Sushmita AdhikariIftikhar AhmedDeepak BajracharyaBishesh KhanalChandrasegarar SolomonKapila JayaratneKhondaker Abdullah Al MamumMuhammad Shamim Hayder TalukderSunila ShakyaSuresh ManandharZahid Ali MemonMoinul Haque ChowdhuryIhtesham ul IslamNoor Sabah RakhshaniM. Imran Khan,2025,https://link.springer.com/article/10.1038/s41746-025-01534-0,Article
Ethical challenges in the algorithmic era: a systematic rapid review of risk insights and governance pathways for nursing predictive analytics and early warning systems,BMC Medical Ethics,,,,10.1186/s12910-025-01308-z,Yucheng CaoLili DengXusheng LiuZhixian FengYu Gao,2025,https://link.springer.com/article/10.1186/s12910-025-01308-z,Article
Ethical perspectives on deployment of large language model agents in biomedicine: a survey,AI and Ethics,,,,10.1007/s43681-025-00847-w,Nafiseh Ghaffar NiaAmin AmiriYuan LuoAdrienne Kline,2025,https://link.springer.com/article/10.1007/s43681-025-00847-w,Article
Securing tomorrow: a comprehensive survey on the synergy of Artificial Intelligence and information security,AI and Ethics,,,,10.1007/s43681-024-00529-z,Ehtesham HashmiMuhammad Mudassar YaminSule Yildirim Yayilgan,2024,https://link.springer.com/article/10.1007/s43681-024-00529-z,Article
Transparency in AI for emergency management: building trust and accountability,AI and Ethics,,,,10.1007/s43681-025-00692-x,Jaideep Visave,2025,https://link.springer.com/article/10.1007/s43681-025-00692-x,Article
Moral Judgment in the Age of Artificial Intelligence: How Humans Perceive Ethical Decisions Made by Machines,Humanistic Management Journal,,,,10.1007/s41463-025-00215-0,Yan Bai,2025,https://link.springer.com/article/10.1007/s41463-025-00215-0,Article
"Radiology AI and sustainability paradox: environmental, economic, and social dimensions",Insights into Imaging,,,,10.1186/s13244-025-01962-2,Burak KocakAndrea PonsiglioneValeria RomeoLorenzo UggaMerel HuismanRenato Cuocolo,2025,https://link.springer.com/article/10.1186/s13244-025-01962-2,Article
Innovating responsibly: ethical considerations for AI in early childhood education,"AI, Brain and Child",,,,10.1007/s44436-025-00003-5,Ilene R. BersonMichael J. BersonWenwei Luo,2025,https://link.springer.com/article/10.1007/s44436-025-00003-5,Article
Reimagining healthcare education through nurturing AI-driven innovation,BMC Medical Education,,,,10.1186/s12909-025-08254-9,Jorge M. Mendes,2025,https://link.springer.com/article/10.1186/s12909-025-08254-9,Article
Safeguarding Patients in the AI Era: Ethics at the Forefront of Pharmacovigilance,Drug Safety,,,,10.1007/s40264-024-01483-9,Ashish JainMaribel SalasOmar AimerZahabia Adenwala,2024,https://link.springer.com/article/10.1007/s40264-024-01483-9,Article
Evaluating AI performance in nephrology triage and subspecialty referrals,Scientific Reports,,,,10.1038/s41598-025-88074-5,Priscilla KoiralaCharat ThongprayoonJing MiaoOscar A. Garcia ValenciaMohammad S. SheikhSupawadee SuppadungsukMichael A. MaoJustin H. PhamIasmina M. CraiciWisit Cheungpasitporn,2025,https://link.springer.com/article/10.1038/s41598-025-88074-5,Article
"Differential privacy and artificial intelligence: potentials, challenges, and future avenues",EURASIP Journal on Information Security,,,,10.1186/s13635-025-00203-9,Yehia Ibrahim AlzoubiAlok Mishra,2025,https://link.springer.com/article/10.1186/s13635-025-00203-9,Article
Examining inclusivity: the use of AI and diverse populations in health and social care: a systematic review,BMC Medical Informatics and Decision Making,,,,10.1186/s12911-025-02884-1,John Gabriel O. MarkoCiprian Daniel NeaguP. B. Anand,2025,https://link.springer.com/article/10.1186/s12911-025-02884-1,Article
The Emirati Habitus: The Impact of Values on Students' Interaction with AI,The Journal of Ethics,,,,10.1007/s10892-025-09530-y,Reem HashemEman ElkalehOthman Abu KhurmaNagla Ali,2025,https://link.springer.com/article/10.1007/s10892-025-09530-y,Article
Ethical aspects of AI use in the circular economy,AI & SOCIETY,,,,10.1007/s00146-025-02436-1,Iryna Bashynska,2025,https://link.springer.com/article/10.1007/s00146-025-02436-1,Article
Redefining oral healthcare through artificial intelligence: a review of current applications and a roadmap for the future of dentistry,BMC Artificial Intelligence,,,,10.1186/s44398-025-00013-6,Bharti DuaRajiv Kumar GuptaAkshay BhargavaAnupam BhardwajMeena JainSiddhi Tripathi,2025,https://link.springer.com/article/10.1186/s44398-025-00013-6,Article
Clinical trials informed framework for real world clinical implementation and deployment of artificial intelligence applications,npj Digital Medicine,,,,10.1038/s41746-025-01506-4,Jacqueline G. YouTina Hernandez-BoussardMichael A. PfefferAdam LandmanRebecca G. Mishuris,2025,https://link.springer.com/article/10.1038/s41746-025-01506-4,Article
AI for swimming recommendation systems exploring the current landscape and research opportunities,Discover Applied Sciences,,,,10.1007/s42452-025-08156-x,Minal PatilR. H. GoudarGeetabai S. Hukkeri,2025,https://link.springer.com/article/10.1007/s42452-025-08156-x,Article
Municipal AI integration: a structured approach,Frontiers of Urban and Rural Planning,,,,10.1007/s44243-025-00056-3,Lutz Eichholz,2025,https://link.springer.com/article/10.1007/s44243-025-00056-3,Article
"New chapter in pediatric medicine: technological evolution, application, and evaluation system of large language models",European Journal of Pediatrics,,,,10.1007/s00431-025-06602-x,Siyu ZhuYue XieYongyu TangZhikang YuRan ZhaoXiaoyan Dong,2025,https://link.springer.com/article/10.1007/s00431-025-06602-x,Article
Ethical and equitable approaches in AI for vector-borne disease management,AI and Ethics,,,,10.1007/s43681-025-00933-z,Jessica J. WilliamsIoanna AngelidouMaria CholviPerparim KadriajAngeliki F. MartinouNadejda MocreacSong-Quan OngFerhat SadakJiří SkuhrovecEnkelejda VeloBranimir K. Hackenberger,2025,https://link.springer.com/article/10.1007/s43681-025-00933-z,Article
Robustness in deep learning models for medical diagnostics: security and adversarial challenges towards robust AI applications,Artificial Intelligence Review,,,,10.1007/s10462-024-11005-9,Haseeb JavedShaker El-SappaghTamer Abuhmed,2024,https://link.springer.com/article/10.1007/s10462-024-11005-9,Article
A comprehensive survey of AI trust frameworks in healthcare: current state and future directions,Health Services and Outcomes Research Methodology,,,,10.1007/s10742-025-00351-y,Christopher Ifeanyi EkeLiyana ShuibMusa Phiri,2025,https://link.springer.com/article/10.1007/s10742-025-00351-y,Article
LLM potentiality and awareness: a position paper from the perspective of trustworthy and responsible AI modeling,Discover Artificial Intelligence,,,,10.1007/s44163-024-00129-0,Iqbal H. Sarker,2024,https://link.springer.com/article/10.1007/s44163-024-00129-0,Article
Ethical aspects in machine learning: an agnostic approach,AI and Ethics,,,,10.1007/s43681-025-00704-w,Tulika Rai,2025,https://link.springer.com/article/10.1007/s43681-025-00704-w,Article
The global AI framework: navigating challenges and societal impacts,AI & SOCIETY,,,,10.1007/s00146-024-02070-3,Lakshmanan Sethu Sankaranarayanan,2024,https://link.springer.com/article/10.1007/s00146-024-02070-3,Article
Smart aging: integrating AI into elderly healthcare,BMC Geriatrics,,,,10.1186/s12877-025-06723-w,Claudio TanaCarmine SiniscalchiNicoletta CerundoloTiziana MeschiPaolo MartellettiMarco TanaLivia MoffaWilliam Wells-GatnikFrancesco CipolloneMaria Adele Giamberardino,2025,https://link.springer.com/article/10.1186/s12877-025-06723-w,Article
Ethical implications of using general-purpose LLMs in clinical settings: a comparative analysis of prompt engineering strategies and their impact on patient safety,BMC Medical Informatics and Decision Making,,,,10.1186/s12911-025-03182-6,Pouyan Esmaeilzadeh,2025,https://link.springer.com/article/10.1186/s12911-025-03182-6,Article
"Towards AI-Enabled Cyber-Physical Infrastructures—Challenges, Opportunities, and Implications for a Data-Driven eGovernment Theory, Policy, and Practice",Journal of the Knowledge Economy,,,,10.1007/s13132-025-02726-5,Maro AndroutsopoulouElias G. CarayannisDimitris AskounisNikos Zotas,2025,https://link.springer.com/article/10.1007/s13132-025-02726-5,Article
Operationalising AI ethics through the agile software development lifecycle: a case study of AI-enabled mobile health applications,AI and Ethics,,,,10.1007/s43681-023-00331-3,Lameck Mbangula AmugongoAlexander KriebitzAuxane BochChristoph Lütge,2023,https://link.springer.com/article/10.1007/s43681-023-00331-3,Article
